     i         cx         cy
   225   0.772886  -0.047434
   226   0.792679  -0.048143
   227   0.791347  -0.072091
   228  -0.524169  -0.361969
   229  -0.566141  -0.364421
   230  -0.554042  -0.363715
   231  -0.554725  -0.333818
   232  -0.573361  -0.335354
   233  -0.678930   0.285374
   234  -0.629168   0.234386
   235  -0.933266  -0.048753
   236  -0.853380  -0.048278
   237  -0.336886   0.024390
   238  -0.336261   0.049834
   239  -0.383628   0.025682
   240  -0.383589   0.050501
   241   0.326232  -0.509740
   242   0.991745  -0.335182
   243  -0.898513  -0.287381
   244  -0.886238  -0.171685
   245  -0.914327  -0.146071
   246  -0.930067  -0.168664
   247  -0.898961  -0.325693
   248  -0.914627  -0.169495
   249  -0.884190  -0.213610
   250  -0.926032  -0.326334
   251  -0.203863  -0.247862
   252  -0.201882  -0.194303
